id,permalink,userUrl,author_name,fullname,avatar,verified,text,html,isRetweet,retweetedBy,replyingTo,relativeTime,displayTime,createdAt,images,links,comments,retweets,likes,Views,bank_ext,post,author_type,Sentiment,uae_time,ddmmyyyy,Bank,Bank_Name,post_highlights,Name_of_bank,post_date,weekday_name
2035756208804552943,https://x.com/EmiratesNBD_AE/status/2035756208804552943,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/1762427651271110656/jOUBidn8_bigger.jpg,,"We are extremely sorry for the inconvenience caused to you, and we have replied you via direct message already.","We are extremely sorry for the inconvenience caused to you, and we have replied you via direct message already.",False,,['koko_isa8'],2h,"Mar 22, 2026 · 4:31 PM UTC",2026-03-22 16:31:00+00:00,,,0,0,0,3,ENBD,"We are extremely sorry for the inconvenience caused to you, and we have already replied to you via direct message.",Bank,Neutral,2026-03-22 20:31:00+04:00,22-03-2026,ENBD,1. Emirates NBD Bank (ENBD),"We are extremely sorry for the inconvenience caused to you, and we have already replied to you via direct message.",Emirates NBD Bank (ENBD),2026-03-22 20:31:00+04:00,Sunday
2035656314034995295,https://x.com/EmiratesNBD_AE/status/2035656314034995295,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/1762427651271110656/jOUBidn8_bigger.jpg,,"We are so sorry to hear you had an unpleasant experience, please share with us your concern from your registered email address for further communication to social@emiratesnbd.com and tag the case reference number #987132 in the subject line.","We are so sorry to hear you had an unpleasant experience, please share with us your concern from your registered email address for further communication to social@emiratesnbd.com and tag the case reference number #987132 in the subject line.",False,,['ZahidanMuhamma'],8h,"Mar 22, 2026 · 9:54 AM UTC",2026-03-22 09:54:00+00:00,,,0,0,0,7,ENBD,We are very sorry to hear that you had an unpleasant experience. Please share your concerns with us from your registered email address for further communication at social@emiratesnbd.com and include the case reference number #987132 in the subject line.,Bank,Neutral,2026-03-22 13:54:00+04:00,22-03-2026,ENBD,1. Emirates NBD Bank (ENBD),Please share your concerns with us from your registered email address for further communication at social@emiratesnbd.com and include the case reference number #987132 in the subject line. • We are very sorry to hear that you had an unpleasant experience.,Emirates NBD Bank (ENBD),2026-03-22 13:54:00+04:00,Sunday
2035627541105348902,https://x.com/EmiratesNBD_AE/status/2035627541105348902,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/1762427651271110656/jOUBidn8_bigger.jpg,,"Don’t click unfamiliar links.
Especially in SMS, WhatsApp, or DMs. When in doubt, don’t tap.

Stay safe. Stay vigilant. #UnitedAgainstFraud

emiratesnbd.com/en/campaigns…","Don’t click unfamiliar links.
Especially in SMS, WhatsApp, or DMs. When in doubt, don’t tap.

Stay safe. Stay vigilant. <a href=""/search?f=tweets&amp;q=%23UnitedAgainstFraud"">#UnitedAgainstFraud</a>

<a href=""https://www.emiratesnbd.com/en/campaigns/united-against-fraud"">emiratesnbd.com/en/campaigns…</a>",False,,,10h,"Mar 22, 2026 · 8:00 AM UTC",2026-03-22 08:00:00+00:00,,"['https://x.com/search?f=tweets&q=%23UnitedAgainstFraud', 'https://www.emiratesnbd.com/en/campaigns/united-against-fraud']",0,0,5,661,ENBD,"Don’t click unfamiliar links. Especially in SMS, WhatsApp, or DMs. When in doubt, don’t tap. Stay safe. Stay vigilant. #UnitedAgainstFraud",Bank,Neutral,2026-03-22 12:00:00+04:00,22-03-2026,ENBD,1. Emirates NBD Bank (ENBD),"Don’t click unfamiliar links. • When in doubt, don’t tap. • Especially in SMS, WhatsApp, or DMs.",Emirates NBD Bank (ENBD),2026-03-22 12:00:00+04:00,Sunday
2035612442487661044,https://x.com/EmiratesNBD_AE/status/2035612442487661044,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/1762427651271110656/jOUBidn8_bigger.jpg,,"Spot the red flags before it’s too late. Fake jobs ask for fees, transfers or banking information. Always verify, stay alert and protect yourself. #UnitedAgainstFraud","Spot the red flags before it’s too late. Fake jobs ask for fees, transfers or banking information. Always verify, stay alert and protect yourself. <a href=""/search?f=tweets&amp;q=%23UnitedAgainstFraud"">#UnitedAgainstFraud</a>",False,,,11h,"Mar 22, 2026 · 7:00 AM UTC",2026-03-22 07:00:00+00:00,,['https://x.com/search?f=tweets&q=%23UnitedAgainstFraud'],0,0,2,535,ENBD,"Spot the red flags before it’s too late. Fake jobs ask for fees, transfers, or banking information. Always verify, stay alert, and protect yourself. #UnitedAgainstFraud",Bank,Neutral,2026-03-22 11:00:00+04:00,22-03-2026,ENBD,1. Emirates NBD Bank (ENBD),"Fake jobs ask for fees, transfers, or banking information. • Spot the red flags before it’s too late. • Always verify, stay alert, and protect yourself.",Emirates NBD Bank (ENBD),2026-03-22 11:00:00+04:00,Sunday
2035319817167642659,https://x.com/EmiratesNBD_AE/status/2035319817167642659,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/1762427651271110656/jOUBidn8_bigger.jpg,,We will make every effort to address the matter promptly and provide the necessary support. Thanks,We will make every effort to address the matter promptly and provide the necessary support. Thanks,False,,['HashemTakriti'],Mar 21,"Mar 21, 2026 · 11:37 AM UTC",2026-03-21 11:37:00+00:00,,,0,0,0,27,ENBD,We will make every effort to address the matter promptly and provide the necessary support. Thanks,Bank,Neutral,2026-03-21 15:37:00+04:00,21-03-2026,ENBD,1. Emirates NBD Bank (ENBD),We will make every effort to address the matter promptly and provide the necessary support.,Emirates NBD Bank (ENBD),2026-03-21 15:37:00+04:00,Saturday
2035319718182064320,https://x.com/EmiratesNBD_AE/status/2035319718182064320,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/1762427651271110656/jOUBidn8_bigger.jpg,,"We sincerely regret for the inconvenience To be able to assist further, we kindly request you to reach 

social@emiratesnbd.com

Quoting case #986959 in the subject line of the email from your registered email address","We sincerely regret for the inconvenience To be able to assist further, we kindly request you to reach 

social@emiratesnbd.com

Quoting case #986959 in the subject line of the email from your registered email address",False,,['HashemTakriti'],Mar 21,"Mar 21, 2026 · 11:36 AM UTC",2026-03-21 11:36:00+00:00,,,0,0,0,26,ENBD,"We sincerely regret the inconvenience. To assist you further, we kindly request that you reach out to social@emiratesnbd.com, quoting case #986959 in the subject line of the email from your registered email address.",Bank,Neutral,2026-03-21 15:36:00+04:00,21-03-2026,ENBD,1. Emirates NBD Bank (ENBD),"To assist you further, we kindly request that you reach out to social@emiratesnbd.com, quoting case #986959 in the subject line of the email from your registered email address. • We sincerely regret the inconvenience.",Emirates NBD Bank (ENBD),2026-03-21 15:36:00+04:00,Saturday
2035265155689251255,https://x.com/EmiratesNBD_AE/status/2035265155689251255,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/1762427651271110656/jOUBidn8_bigger.jpg,,"What would you do if a delivery agent asks for a ‘small online fee’?

Stay safe. Stay vigilant. #UnitedAgainstFraud

emiratesnbd.com/en/campaigns…","What would you do if a delivery agent asks for a ‘small online fee’?

Stay safe. Stay vigilant. <a href=""/search?f=tweets&amp;q=%23UnitedAgainstFraud"">#UnitedAgainstFraud</a>

<a href=""https://www.emiratesnbd.com/en/campaigns/united-against-fraud"">emiratesnbd.com/en/campaigns…</a>",False,,,Mar 21,"Mar 21, 2026 · 8:00 AM UTC",2026-03-21 08:00:00+00:00,,"['https://x.com/search?f=tweets&q=%23UnitedAgainstFraud', 'https://www.emiratesnbd.com/en/campaigns/united-against-fraud']",1,1,1,573,ENBD,"What would you do if a delivery agent asks for a 'small online fee'? 

Stay safe. Stay vigilant. #UnitedAgainstFraud",Bank,Neutral,2026-03-21 12:00:00+04:00,21-03-2026,ENBD,1. Emirates NBD Bank (ENBD),What would you do if a delivery agent asks for a 'small online fee'?,Emirates NBD Bank (ENBD),2026-03-21 12:00:00+04:00,Saturday
2035250053074284602,https://x.com/EmiratesNBD_AE/status/2035250053074284602,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/1762427651271110656/jOUBidn8_bigger.jpg,,"To limit online scam risks, just lower your card limits! With ENBD X App, you’re in control – reduce card limits anytime, anywhere! Stay one step ahead of fraud. Stay #UnitedAgainstFraud","To limit online scam risks, just lower your card limits! With ENBD X App, you’re in control – reduce card limits anytime, anywhere! Stay one step ahead of fraud. Stay <a href=""/search?f=tweets&amp;q=%23UnitedAgainstFraud"">#UnitedAgainstFraud</a>",False,,,Mar 21,"Mar 21, 2026 · 7:00 AM UTC",2026-03-21 07:00:00+00:00,,['https://x.com/search?f=tweets&q=%23UnitedAgainstFraud'],0,2,14,1108,ENBD,"To limit online scam risks, just lower your card limits! With the ENBD X App, you’re in control – reduce card limits anytime, anywhere! Stay one step ahead of fraud. Stay #UnitedAgainstFraud",Bank,Positive,2026-03-21 11:00:00+04:00,21-03-2026,ENBD,1. Emirates NBD Bank (ENBD),"To limit online scam risks, just lower your card limits! • With the ENBD X App, you’re in control – reduce card limits anytime, anywhere! • Stay one step ahead of fraud.",Emirates NBD Bank (ENBD),2026-03-21 11:00:00+04:00,Saturday
2035047636193968616,https://x.com/EmiratesNBD_AE/status/2035047636193968616,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/1762427651271110656/jOUBidn8_bigger.jpg,,"We sincerely regret for the inconvenience to be able to assist further, we kindly request you to reach out to us at
 social@emiratesnbd.com 
quoting case # 986779 in the subject line of the email from your registered email address We will make every effort to address the matter promptly and provide the necessary support. Thanks","We sincerely regret for the inconvenience to be able to assist further, we kindly request you to reach out to us at
 social@emiratesnbd.com 
quoting case # 986779 in the subject line of the email from your registered email address We will make every effort to address the matter promptly and provide the necessary support. Thanks",False,,['728033s'],Mar 20,"Mar 20, 2026 · 5:35 PM UTC",2026-03-20 17:35:00+00:00,,,0,0,0,13,ENBD,"We sincerely regret the inconvenience. To assist you further, we kindly request that you reach out to us at social@emiratesnbd.com, quoting case # 986779 in the subject line of the email from your registered email address. We will make every effort to address the matter promptly and provide the necessary support. Thank you.",Bank,Neutral,2026-03-20 21:35:00+04:00,20-03-2026,ENBD,1. Emirates NBD Bank (ENBD),"To assist you further, we kindly request that you reach out to us at social@emiratesnbd.com, quoting case # 986779 in the subject line of the email from your registered email address. • We will make every effort to address the matter promptly and provide the necessary support. • We sincerely regret the inconvenience.",Emirates NBD Bank (ENBD),2026-03-20 21:35:00+04:00,Friday
2035046875502412154,https://x.com/EmiratesNBD_AE/status/2035046875502412154,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/1762427651271110656/jOUBidn8_bigger.jpg,,"@HarbAlhanini We sincerely regret for the inconvenience To be able to assist further, we kindly request you to reach out to us at
 social@emiratesnbd.com
 quoting case #986459 in the subject line of the email from your registered email address We will make every effort to address the matter promptly and provide the necessary support. Thanks","<a href=""/HarbAlhanini"" title=""Harb Alhanini"">@HarbAlhanini</a> We sincerely regret for the inconvenience To be able to assist further, we kindly request you to reach out to us at
 social@emiratesnbd.com
 quoting case #986459 in the subject line of the email from your registered email address We will make every effort to address the matter promptly and provide the necessary support. Thanks",False,,,Mar 20,"Mar 20, 2026 · 5:32 PM UTC",2026-03-20 17:32:00+00:00,,['https://x.com/HarbAlhanini'],0,0,2,1420,ENBD,"We sincerely regret the inconvenience. To assist you further, we kindly request you to reach out to us at social@emiratesnbd.com, quoting case #986459 in the subject line of the email from your registered email address. We will make every effort to address the matter promptly and provide the necessary support. Thanks.",Bank,Neutral,2026-03-20 21:32:00+04:00,20-03-2026,ENBD,1. Emirates NBD Bank (ENBD),"To assist you further, we kindly request you to reach out to us at social@emiratesnbd.com, quoting case #986459 in the subject line of the email from your registered email address. • We will make every effort to address the matter promptly and provide the necessary support. • We sincerely regret the inconvenience.",Emirates NBD Bank (ENBD),2026-03-20 21:32:00+04:00,Friday
